,Old_WScore,Position_Weight,SCScore,Words
77,61620.37820512821,0.006035573045871877,371.9142937713027,time-diagram
31,73605.05311355309,0.005051312500145195,371.8021248663417,insert
11,77724.26410256412,0.004737598372953934,368.22634715134967,problem
181,48633.93859303091,0.0075601052805142335,367.6776959693779,multipl-instruct-issu
150,50989.896037296036,0.007200014780105146,367.1280051045563,sequenti-instruct-fetch
192,48288.477732793515,0.0075144898810864495,362.8632772961452,theorem
234,46495.63834319527,0.007772836662545598,361.40300236244906,independ
163,50268.78211702827,0.007088153280861888,356.31283288774534,achiev
172,49698.267350427355,0.0071635715321158085,356.01709318700193,base
24,74858.77037037036,0.004735734642648957,354.5112721490662,subsequ-instruct
221,46987.67316239316,0.007524183195531761,353.5438608056174,techniqu
263,45613.29284750337,0.007730767007687416,352.62573945746345,stanford
78,61529.1221719457,0.00569319699382737,350.29741338215825,instruct-sequenc-pipelin
63,64846.48461538463,0.005390431498307802,349.55053322530165,number-slot
89,58951.421367521376,0.005907833406578683,348.2751765203392,target-instruct
429,42082.1991902834,0.008257126586942685,347.478045771107,recent
262,45613.29284750337,0.00754994043166265,344.37764389063443,motorola
180,48881.22958579882,0.00691459178949157,337.99374875421694,evalu
109,55947.274916387956,0.005998522547756821,335.60099007150274,increas
409,43831.09565217391,0.007652561554905448,335.42015749720946,buffer
45,70429.12217194571,0.004747924904451374,334.3921831588295,illustr
245,46234.34411571335,0.007220956865074959,333.85620454459837,risc
145,51783.832277526395,0.006331007546527642,327.8438329371413,execut-stage
90,58616.18190045247,0.0055769461380748035,326.8992892784186,shown-figur
74,62479.23874643874,0.0051906309012624266,324.30666732461765,stabil
623,30444.81128205128,0.01061201148693076,323.0806870425674,larg-amount
366,44100.0,0.007223493226326601,318.5560512810031,processor-perform
85,60413.42898550725,0.005249794776028734,317.15810389009886,except
649,28928.50666666667,0.010793740573152338,312.24679612870796,work
420,42706.44704570792,0.007153672760235034,305.50794691730067,static-instruct
95,58096.28102564102,0.0051040188569272185,296.52451387221475,simpl
532,35129.05982905982,0.008403361344537815,295.20218343747746,instruct-sequenc-special
70,63040.618589743586,0.00462164299394172,291.3512332390406,dynam-branch
554,33726.92240802676,0.008620689655172414,290.74933110367897,branch-instruct-disrupt
211,47742.247692307705,0.0059755475198125805,285.2860697880472,case-branch
121,53832.2,0.005228909942228854,281.4837257920521,differ
128,52840.909803921575,0.005312403549652522,280.71223680922174,data
198,48089.10432610125,0.005828610259620193,280.2926468510596,improv
