,Old_WScore,Position_Weight,SCScore,Words
85,4936.2994652406405,0.025701557497521905,126.87058453086895,constraint-impos
42,6206.029384756658,0.01959100159153843,121.58233155390195,function
75,5141.59090909091,0.023288320303245676,119.73901595916523,algorithm
219,2804.862745098039,0.041666666666666664,116.86928104575162,opportun
15,8867.07438016529,0.012807403440307038,113.56419892198733,execut
220,2804.862745098039,0.037037037037037035,103.88380537400144,treat
93,4741.666666666666,0.02140517223838688,101.49619169701778,cope
102,4623.636363636364,0.021922314347512614,101.36080979222652,lead
162,3641.4545454545455,0.027777777777777776,101.15151515151514,unifi
20,8075.691699604744,0.01236428611797366,99.85016277445806,data
89,4848.850267379679,0.020301717220349864,98.43998697216007,model
81,5020.427807486632,0.018964183964183964,95.20831652008125,branch
33,6664.1707988980725,0.014057941550204359,93.68452357148779,cdfg
16,8779.030303030304,0.010591159169191757,92.9801072905517,flow
124,4312.890909090909,0.021395271395271396,92.27547149819877,duplic
78,5069.532467532467,0.018055795683234326,91.53444244328898,underli
105,4542.417929292929,0.019050460279577224,86.53515233523437,advanc
149,3902.9803921568628,0.021954944635357007,85.6897184226879,tackl
38,6547.998737373737,0.012947017862549199,84.77705661672736,parallel
61,5616.482323232323,0.01504995310385844,84.52779557329637,oper-basic-block
51,5913.048668503216,0.014264450420640985,84.3463895667013,depend
366,1928.0639730639728,0.04323268987515812,83.35539180693995,applic-specif
44,6143.304347826086,0.013331350141816902,81.89854128861569,avail
37,6584.015948963318,0.012349948934615074,81.31226075438818,prioriti
23,7557.590909090909,0.009960610494104828,75.27821931924215,call
137,4102.609427609427,0.017282370402647095,70.9028157453381,main
120,4365.80303030303,0.015707070707070708,68.57397689011326,code-motion-account
74,5190.632034632034,0.013077069753472967,67.87825718149442,subproblem
64,5454.793388429752,0.012328510820398425,67.24947931229399,paper
323,2219.0578512396687,0.030303030303030304,67.244177310293,code-motion-schedul
322,2219.0578512396687,0.029411764705882353,65.26640738940202,code-motion-encod
135,4151.64758698092,0.015668259869003363,65.0490932773378,term-schedul-length
143,3952.996632996632,0.015657749113631467,61.895029526491186,prune
70,5315.922865013775,0.011562068719578815,61.46306547326956,complet
196,3030.7030303030297,0.02,60.6140606060606,issu
195,3030.7030303030297,0.0196078431372549,59.425549613784895,specul-execut-code
57,5743.757575757576,0.010252219307403979,58.88626231522969,independ
73,5194.123106060606,0.010858050847457626,56.3980527935606,encod
131,4165.8677685950415,0.013464157484214437,56.089899694776626,cost
45,6102.3703703703695,0.009160228715039978,55.8991082964758,guard
114,4444.636363636364,0.012559336548630815,55.82168392719175,search-time
59,5625.785123966944,0.009834395442576188,55.32619558405344,basic-block-schedul
40,6348.238636363636,0.008628419561717721,54.77526643245223,select
41,6339.1919191919205,0.008501038659681753,53.88971557619268,constraint
103,4597.684210526315,0.011491988442343053,52.836533808911554,order-oper
62,5594.258953168044,0.008748130040235863,48.9393048010678,effici
110,4509.558441558442,0.01030583447281207,46.47476284417367,descript-figur
101,4635.0,0.009754249489025372,45.210946381632596,cycl
